@relation AllApplicationsOverSSHLabeldTraffic

@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute proto numeric
@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute class numeric

@data
40,41,50,2,40,277,1300,363,638,149498,971030,134229,8,156164,1173453,192481,937107619,6,556,23185,503,139505,0
40,41,50,1,40,168,1300,305,282,197964,1137031,226708,133,271253,1184873,298454,335515044,6,906,37414,652,109812,0
40,41,50,2,40,50,327,39,405,149784,743809,147009,75,169133,945251,205361,18314617,6,71,2949,61,3110,0
40,40,50,1,40,222,1300,367,425,227333,1005811,262782,134,282280,1149592,320947,122994192,6,194,7925,154,34277,0
40,40,50,1,40,264,1300,401,424,319029,1005807,355373,136,347822,1012599,383888,107309839,6,155,6324,140,37026,0
40,40,55,2,40,418,1300,453,411,375312,1006066,383384,111,365136,1007045,413768,163785958,6,131,5343,129,53923,0
40,40,50,1,40,312,1300,423,417,317611,1106391,338727,13,351177,1063820,377287,184760445,6,208,8467,185,57764,0
40,40,50,1,40,385,1300,471,405,159111,782498,126958,14,159040,952152,200149,745058728,6,267,10854,239,92076,0
40,40,50,1,40,219,1300,358,236,265872,1005879,301266,14,299962,1006235,336842,116592067,6,190,7759,166,36423,0
40,40,50,1,40,222,1300,375,405,157468,782498,134131,21,190222,952152,211315,279271504,6,202,8254,161,35803,0
40,40,50,1,40,320,1300,415,396,341249,1005807,365334,110,357631,1006360,396484,118079765,6,131,5353,122,39058,0
40,40,50,1,40,317,1300,413,410,313507,1106375,343976,13,347695,1106704,382667,197827223,6,203,8263,180,57163,0
40,40,50,1,40,317,1300,413,410,313507,1106375,343976,13,347695,1106704,382667,197827223,6,203,8263,180,57163,0
40,42,50,2,40,230,1300,275,11357,140287,800256,123994,8,146141,993707,174152,267846556,6,328,13980,305,70158,0
40,41,50,1,40,69,1238,139,374,188919,911521,169382,59,225899,1112968,227532,53584042,6,126,5182,100,6995,0
40,41,55,2,40,118,1300,260,417,180582,1005806,204016,16,207147,1005899,239995,24709037,6,75,3108,64,7572,0
40,40,50,1,40,228,1300,377,401,213973,1005806,238740,214,234349,1006980,301799,88274257,6,151,6182,133,30424,0
40,46,50,3,40,49,113,19,424,13967,40264,19545,257,13797,40448,19429,6214674,6,11,506,14,687,0
40,41,50,2,40,116,1300,250,349,158041,897442,146133,21,190826,1098891,217759,74560589,6,89,3675,70,8135,0
40,40,50,1,40,209,1300,358,405,157751,782498,134466,21,193101,952152,211604,254327599,6,200,8174,158,33128,0
40,41,50,1,40,101,1300,215,405,164710,1005786,163645,75,204159,1005552,223615,31865995,6,120,4936,94,9505,0
40,40,50,1,40,262,1300,407,405,157708,782498,133043,21,184301,952152,209943,359433969,6,213,8694,174,45742,0
40,42,50,2,40,238,1300,286,11357,140638,800256,123482,8,145072,993707,173343,302949071,6,334,14220,312,74475,0
40,41,50,2,40,121,1300,249,399,175669,1005805,202608,63,215002,1006430,244676,33871336,6,98,4042,79,9605,0
40,46,50,3,40,49,113,19,405,14514,40449,19408,174,14417,40668,19239,7056300,6,11,506,14,687,0
40,46,50,3,40,49,113,19,410,29787,143448,46711,63,25671,142675,41494,6191214,6,11,506,14,687,0
40,40,50,1,40,228,1300,377,401,213973,1005806,238740,214,234349,1006980,301799,88274257,6,151,6182,133,30424,0
40,40,50,1,40,248,1300,391,424,302531,1005807,345711,136,334501,1012599,374726,99363997,6,147,6004,131,32524,0
40,40,50,1,40,152,1300,293,384,144387,1106389,133049,132,172067,1147916,191216,206422304,6,233,9545,189,28790,0
40,41,50,2,40,57,358,56,323,135192,660378,117810,152,154805,824786,159811,19391292,6,78,3236,66,3763,0
40,41,50,1,40,101,1300,213,323,175665,1137031,185107,152,232120,1142160,260610,57209467,6,215,8852,160,16309,0
40,40,50,1,40,271,1300,400,398,273913,1005877,308310,14,326162,1151675,350507,411858868,6,557,22613,462,125283,0
40,41,50,1,40,62,760,101,425,162291,948153,151485,229,220511,1149592,231862,43334608,6,138,5671,101,6327,0
40,40,55,1,40,279,1300,401,399,341769,1005881,364260,8,358351,1208875,396513,182696226,6,227,9239,214,59859,0
40,40,50,1,40,52,327,31,72,159667,820682,136137,182,223556,1022157,202308,66720756,6,235,9634,169,8896,0
40,40,50,1,40,385,1300,471,405,159111,782498,126958,14,159040,952152,200149,745058728,6,267,10854,239,92076,0
40,41,50,2,40,162,1300,322,349,158667,897442,144398,21,183717,1098891,215289,109763682,6,94,3875,76,12385,0
40,41,50,2,40,169,1300,305,396,225044,1005807,264694,190,259176,1005766,308527,51797372,6,97,3993,83,14074,0
40,40,50,1,40,206,1300,343,410,229881,1005811,252046,63,302975,1116266,308092,234977077,6,417,16962,314,64715,0
40,40,50,1,40,174,1300,315,384,144991,1106389,132252,132,169874,1147916,189899,251381681,6,241,9865,198,34636,0
40,40,50,1,40,279,1300,419,405,157415,782498,132727,21,181690,952152,209580,394435901,6,217,8854,179,49946,0
40,40,50,1,40,188,1300,344,374,188426,911521,162654,59,204372,1112968,220354,188663329,6,147,6022,125,23532,0
40,40,55,2,40,281,1300,388,397,259189,1005807,304623,123,279339,1006561,337482,93836193,6,117,4794,106,29832,0
40,40,50,1,40,291,1300,407,405,361017,1005945,376700,109,375604,1159783,404029,181462840,6,218,8867,205,59817,0
40,42,50,2,40,219,1300,259,11357,140204,800256,124192,8,147191,993707,174336,232844646,6,324,13820,300,65899,0
40,42,50,2,40,281,1300,337,638,141594,800256,121715,8,138701,993707,170328,518291773,6,375,15860,360,101249,0
40,41,55,1,40,238,1300,371,397,135193,1005808,219681,12,148710,1006251,250820,74867559,6,337,13861,303,72149,0
40,40,50,1,40,211,1300,359,401,208654,1005806,224005,214,237862,1006980,291087,562208454,6,178,7280,151,31951,0
40,40,50,1,40,286,1300,401,236,309340,1005879,335576,14,333815,1006413,367180,175833840,6,219,8919,199,57022,0
40,40,50,1,40,300,1300,412,425,288324,1106409,320366,130,330984,1149592,364814,199736932,6,237,9645,202,60794,0
40,40,50,1,40,283,1300,399,236,312388,1005879,337662,14,336650,1006413,368821,184081424,6,222,9039,202,57324,0
40,40,50,1,40,317,1300,413,410,313507,1106375,343976,13,347695,1106704,382667,197827223,6,203,8263,180,57163,0
40,40,50,1,40,292,1300,417,384,147791,1106389,127249,132,153979,1147916,181964,594260895,6,292,11905,259,75844,0
40,40,50,1,40,381,1300,462,430,160278,686198,113703,11,153355,833126,183626,486179298,6,172,7007,159,60721,0
40,40,50,1,40,145,1300,295,405,157187,782498,136694,21,203221,952152,214740,149120652,6,185,7574,140,20364,0
40,40,50,1,40,317,1300,420,410,346629,1005870,381186,107,346227,1006445,402228,171478382,6,189,7695,183,58063,0
40,40,55,1,40,351,1300,446,400,343339,1005811,374171,10,359451,1007353,402483,194341457,6,181,7369,168,59002,0
40,40,50,1,40,307,1300,420,410,329383,1005870,373006,107,331764,1006445,394144,149149561,6,178,7255,171,52541,0
40,40,50,1,40,228,1300,377,401,213973,1005806,238740,214,234349,1006980,301799,88274257,6,151,6182,133,30424,0
40,41,50,2,40,239,1300,358,396,266349,1005807,305086,190,292929,1006286,344082,72818648,6,110,4513,98,23512,0
40,40,50,1,40,364,1300,442,456,415976,1005870,398938,109,414694,1006669,424737,167197107,6,156,6348,152,55333,0
40,40,50,1,40,228,1300,377,401,213973,1005806,238740,214,234349,1006980,301799,88274257,6,151,6182,133,30424,0
40,40,50,1,40,308,1300,421,417,320702,1106391,340774,13,353744,1063820,378873,191901644,6,211,8587,188,58066,0
40,42,50,2,40,219,1300,259,11357,140204,800256,124192,8,147191,993707,174336,232844646,6,324,13820,300,65899,0
40,41,50,2,40,45,113,12,384,136943,671212,127811,205,153388,855065,180921,14532436,6,58,2420,52,2357,0
40,40,55,1,40,280,1300,396,397,184084,1005878,284050,12,196008,1006343,310992,157242787,6,385,15781,356,99736,0
40,40,50,1,40,385,1300,471,405,159111,782498,126958,14,159040,952152,200149,745058728,6,267,10854,239,92076,0
40,41,50,1,40,122,1300,243,384,144670,1106389,133855,132,178472,1147916,192469,145772910,6,225,9225,178,21758,0
40,41,50,1,40,149,1300,281,282,187773,1137031,210022,133,260979,1184873,285151,289449281,6,883,36494,626,93563,0
40,40,50,1,40,192,1300,346,374,188426,911521,162654,59,204372,1112968,220354,193692344,6,148,6062,126,24259,0
40,40,55,1,40,309,1300,433,409,305106,1005823,357667,107,321078,1006443,384546,126765660,6,144,5883,134,41432,0
40,43,50,3,40,46,113,15,349,68521,201163,66602,264,60004,279955,83087,24572207,6,22,953,22,1024,0
40,40,50,1,40,275,1300,404,384,147400,1106389,127981,132,156845,1147916,182910,534414532,6,285,11625,250,68925,0
40,40,55,1,40,178,1300,328,410,237456,1106454,283873,109,286492,1200812,327564,121393996,6,237,9673,195,34755,0
40,41,55,2,40,171,1300,324,407,228002,1005897,264673,119,264240,1102206,317344,51257235,6,96,3955,81,13870,0
40,42,50,2,40,297,1300,356,638,142374,800256,120591,8,136135,993707,168703,633958734,6,398,16780,386,114750,0
40,40,50,1,40,228,1300,377,401,213973,1005806,238740,214,234349,1006980,301799,88274257,6,151,6182,133,30424,0
40,40,50,1,40,340,1300,452,405,158504,782498,129413,14,169205,952152,204147,569646728,6,242,9854,209,71184,0
